I'm OK.	Je vais bien.
I'm sick.	Je suis malade.
I'm awake.	Je suis réveillé.
I'm timid.	Je suis timide.
I'm a liar.	Je suis un menteur.
I'm shaken.	Je suis remué.
You're big.	Tu es grand.
He's not in.	Il n'est pas à l'intérieur.
I'm engaged.	Je suis fiancé.
I'm reading.	Je lis.
I'm worried.	Je me fais du souci.
We're tired.	Nous sommes fatiguées.
You're nice.	Vous êtes sympas.
He is eating.	Il est en train de manger.
I'm all ears.	Je suis tout ouïe.
I'm not deaf.	Je ne suis pas sourde.
I'm restless.	Je ne tiens pas en place.
I'm very shy.	Je suis très timide.
We are Arabs.	Nous sommes arabes.
You are late.	Vous êtes en retard.
You're naive.	Vous êtes naïve.
He is no fool.	Il n'est pas idiot.
He's studying.	Il est en train d'étudier.
I'm ambitious.	Je suis ambitieuse.
I'm impatient.	Je suis impatient.
I'm not obese.	Je ne suis pas obèse.
I'm your boss.	Je suis ton chef.
They're early.	Elles sont en avance.
We're married.	Nous sommes mariés.
We're unlucky.	Nous sommes malchanceux.
You're bright.	Vous êtes brillant.
You're joking!	Vous plaisantez !
He is my uncle.	C'est mon oncle.
I am an artist.	Je suis un artiste.
I'm contagious.	Je suis contagieuse.
I'm making tea.	Je prépare le thé.
I'm one of you.	Je suis l'un d'entre vous.
I'm wide awake.	Je suis tout à fait éveillée.
We are all set.	Nous sommes toutes prêtes.
We're not open.	Nous ne sommes pas ouverts.
You are morons.	Vous êtes des crétins.
You're foolish.	Vous êtes imprudentes.
You're selfish.	Vous êtes égoïste.
He is well paid.	Il est bien payé.
I am very sorry.	Je suis vraiment désolé.
I'm from Brazil.	Je viens du Brésil.
I'm not certain.	Je n'en suis pas certain.
I'm replaceable.	Je suis remplaçable.
I'm your sister.	Je suis votre sœur.
They're jittery.	Ils sont nerveux.
We're all angry.	Nous sommes tous en colère.
We're in charge.	C'est nous qui dirigeons.
We're separated.	Nous sommes séparés.
You're an idiot.	Tu es un idiot.
You're faithful.	Vous êtes fidèle.
You're powerful.	Vous êtes puissant.
You're talented.	Vous êtes talentueuses.
He is very brave.	Il est très courageux.
He's not my type.	Il n'est pas mon genre.
I am out of work.	Je suis sans travail.
I'm confused now.	Je suis paumé maintenant.
I'm no different.	Je ne suis pas différente.
I'm real careful.	Je suis vraiment prudente.
She is on a diet.	Elle est au régime.
They're not dead.	Elles ne sont pas mortes.
We're getting it.	Nous pigeons.
We're surrounded.	Nous sommes cernés.
You're all alone.	Vous êtes toutes seules.
You're exhausted.	Vous êtes épuisées.
You're obnoxious.	Vous êtes odieuse.
You're very busy.	Vous êtes fort occupée.
You're very rude.	Vous êtes fort grossier.
He is a gentleman.	C'est un monsieur.
He's an undergrad.	C'est un étudiant de premier cycle.
I am in your debt.	Je suis votre débiteur.
I'm aware of that.	J'en suis conscient.
I'm kind of happy.	Je suis pour ainsi dire heureux.
I'm not satisfied.	Je ne suis pas satisfaite.
I'm totally drunk.	Je suis complètement saoul.
They are very big.	Elles sont très grandes.
We're a good team.	Nous sommes une bonne équipe.
We're not dressed.	Nous ne sommes pas habillées.
We're ready to go.	Nous sommes prêtes à partir.
You are so stupid.	Tu es tellement idiote !
You're here early.	Tu viens tôt.
You're the leader.	Tu es la chef.
You're too polite.	Tu es trop poli.
You're very funny.	Vous êtes fort drôles.
